file_order_id,sku,name,qty_invoiced,qty_ordered,original_price,price
25327x9,ELT-1241086,Pure De Tomate La Huerta x 530 grs,,24,637.83,637.83
25327x9,ELT-1241057.1,Yerba Rosamonte Especial,,10,2204.65,2204.65
25327x9,ELT-1111109.1,Tutuca 75 Grs La Franciscana,,25,534.6,534.6
25327x9,ELT-1001001,Guaymallen Simple Blanco x 40,,2,8700,8700
25327x9,ELT-1001002,Guaymallen Simple Negro x 40,,2,8700,8700
25327x9,ELT-1001003,Guaymallen Simple Fruta x 40,,2,8700,8700
25327x9,ELT-1011027.4,Conito Cachafaz x 12,,1,15470.7,15470.7
25329x9,ELT-1241037174,Edulcorante Si Diet x 600,,6,1946.84,1946.84
25329x9,ELT-1241117.94,Lucchettinis Espinaca Y Queso x 500g,,12,3450.16,3450.16
25329x9,ELT-1241117942,Lucchettinis Multisabor x 500g,,12,3450.16,3450.16
25329x9,ELT-1.241.019.992,Pure De Tomate Noel 520g,,12,711.88,711.88
25329x9,ELT-1241001.30,Pure De Tomate Alco 520g,,12,638.16,638.16
25329x9,ELT-1241086.2,Pure De Tomate Lc 520 grs,,12,794.35,794.35
25329x9,ELT-1241125,Pure De Tomate Arcor 520grs,,12,649,649
25329x9,ELT-1241086,Pure De Tomate La Huerta x 530 grs,,12,637.83,637.83
25331,JSD-76625260587,Bidon De Agua Artica x 6l,,100,1150,1150
25332,ELT-1021023,Baggio Litro Naranja,,24,1142.33,1142.33
25332,ELT-1021021,Baggio Litro Multifruta,,24,1142.33,1142.33
25332,ELT-1021019,Baggio 200cc Naranja x 18,,1,5973.26,5973.26
25332,ELT-1021017,Baggio 200cc Multifruta x 18,,1,5973.26,5973.26
25332,ELT-1241037.18,Edulcorante Si Diet x 500,,6,1685.45,1685.45
25332,ELT-1241037160,Edulcorante Si Diet x 250,,6,1051.74,1051.74
25332,ELT-1081037,Don Satur Talitas,,20,822.52,822.52
25332,ELT-1231024,Nugaton Blanco,,24,399,399
25332,ELT-1231021.4,Chocman Coco 35g,,24,441.03,441.03
25332,ELT-1071030,Beldent Mentol x 20,,1,9360,9360
25332,ELT-1071022,Beldent Menta Fuerte x 20,,1,9360,9360
25332,ELT-1091151.1,Oblea Sinfonia 100G Choco,,28,527.75,527.75
25332,ELT-1091151241,Oblea Sinfonia 100g Frut Crema,,28,527.75,527.75
25333,ELT-COMBO8,Combo Goyeneche x 24u + Oreo x 36u,,1,78582.79,78582.79
